CHEM,GEO,BIO
DRO,ECON,PHY
CHEM,ECON,BAFS
DRO,GEO,HIST
CHIS,DRO,BAFS
PHY,CHEM,HIST
CHEM,GEO,PHY
CHEM,ECON,BIO
PHY,ICT,DRO
ECON,CHEM,PHY
CHEM,GEO,BIO
ECON,DRO,BAFS
CHIS,CLIT,DRO
BIO,CHEM,PHY
CHIS,CLIT,HIST
BIO,ECON,PHY
BIO,CHEM,GEO
CHEM,ECON,BIO
PHY,ICT,GEO
DRO,ICT,PHY
CHIS,DRO,BAFS
DRO,ECON,BAFS
BIO,CHEM,HIST
ECON,CHEM,BIO
BIO,CHEM,PHY
CHEM,ICT,PHY
ECON,DRO,BAFS
CHIS,DRO,GEO
PHY,DRO,GEO
BIO,CHEM,PHY
CHEM,ECON,BIO
PHY,CHEM,BIO
BIO,CHEM,GEO
DRO,BAFS,PHY
ECON,ICT,BAFS
ECON,DRO,BAFS
PHY,ICT,GEO
ECON,CHEM,BIO
DRO,ICT,PHY
ECON,CHEM,BIO
CHEM,ECON,PHY
PHY,DRO,BAFS
ECON,DRO,GEO
DRO,ECON,GEO
DRO,BAFS,PHY
DRO,ECON,PHY
DRO,BAFS,GEO
ECON,BAFS,PHY
PHY,ECON,GEO
ECON,BAFS,GEO
PHY,DRO,BAFS
ECON,CHEM,BAFS
CHEM,ECON,BAFS
PHY,DRO,VA
DRO,BAFS,GEO
ECON,BAFS,DRO
CHEM,BAFS,PHY
DRO,ICT,PHY
CHEM,ECON,BAFS
CHEM,ECON,GEO
ECON,DRO,GEO
ECON,BAFS,GEO
CHEM,ECON,BIO
ECON,BAFS,GEO
DRO,GEO,VA
DRO,GEO,VA
BIO,CHEM,GEO
ECON,GEO,DRO
PHY,GEO,BIO
DRO,GEO,BAFS
CHEM,GEO,PHY
BIO,GEO,DRO
DRO,GEO,HIST
DRO,GEO,VA
PHY,GEO,HIST
DRO,GEO,HIST
BIO,DRO,GEO
CHEM,GEO,BIO
BIO,CHEM,GEO
CHEM,GEO,BIO
DRO,GEO,PHY
CHIS,GEO,DRO
CHIS,GEO,VA
CHEM,GEO,BIO
DRO,GEO,PHY
CHIS,GEO,VA
CHIS,DRO,HIST
DRO,GEO,VA
CHIS,GEO,HIST
CHIS,GEO,VA
CHEM,GEO,BIO
DRO,BAFS,GEO
DRO,GEO,HIST
CHIS,CLIT,DRO
DRO,CLIT,VA
BIO,CHEM,PHY
DRO,ECON,GEO
CHIS,ECON,DRO
CHIS,ECON,DRO
CHIS,ECON,BAFS
CHIS,ECON,DRO
BIO,CLIT,GEO
CHIS,CLIT,DRO
DRO,CHEM,BIO
PHY,CHEM,BIO
CHIS,CLIT,DRO
ECON,BAFS,HIST
CHIS,CLIT,VA
DRO,CLIT,GEO
CHIS,CHEM,GEO
CHIS,CHEM,PHY
CHIS,CLIT,HIST
CHIS,ECON,HIST
DRO,CLIT,VA
BIO,CHEM,DRO
CHIS,DRO,GEO
CHIS,BAFS,VA
CHIS,DRO,BIO
CHIS,BAFS,HIST
DRO,CLIT,GEO
CHIS,CLIT,GEO
DRO,CLIT,VA
CHIS,ECON,DRO
CHIS,ECON,GEO
CHIS,BAFS,DRO
